country,country_code,year_week,level,region,region_name,new_cases,tests_done,population,testing_rate,positivity_rate,testing_data_source
Italy,IT,2020-W08,national,IT,Italy,175,NA,59030133,NA,NA,NA
Italy,IT,2020-W09,national,IT,Italy,1978,20457,59030133,34.655181955968146,9.669061934790047,TESSy COVID-19
Italy,IT,2020-W10,national,IT,Italy,8320,29132,59030133,49.35106617496525,28.55965948098311,TESSy COVID-19
Italy,IT,2020-W11,national,IT,Italy,21102,74304,59030133,125.87469521710209,28.399547803617573,TESSy COVID-19
Italy,IT,2020-W12,national,IT,Italy,36651,131459,59030133,222.69812605707665,27.880175568047832,TESSy COVID-19
Italy,IT,2020-W13,national,IT,Italy,36863,198678,59030133,336.5704766411419,18.554142884466323,TESSy COVID-19
Italy,IT,2020-W14,national,IT,Italy,30966,237431,59030133,402.21999838624794,13.042104864150005,TESSy COVID-19
Italy,IT,2020-W15,national,IT,Italy,28201,318732,59030133,539.9479618316293,8.84787219356701,TESSy COVID-19
Italy,IT,2020-W16,national,IT,Italy,20724,346348,59030133,586.7308481246349,5.983577211359673,TESSy COVID-19
Italy,IT,2020-W17,national,IT,Italy,16927,401118,59030133,679.5139695856691,4.219955225145718,TESSy COVID-19
Italy,IT,2020-W18,national,IT,Italy,11432,396113,59030133,671.0352490650835,2.886045143683747,TESSy COVID-19
Italy,IT,2020-W19,national,IT,Italy,8271,412140,59030133,698.1857892815522,2.0068423351288396,TESSy COVID-19
Italy,IT,2020-W20,national,IT,Italy,5275,439048,59030133,743.7692881362811,1.2014631657586414,TESSy COVID-19
Italy,IT,2020-W21,national,IT,Italy,3861,442052,59030133,748.8582144986866,0.8734266556875662,TESSy COVID-19
Italy,IT,2020-W22,national,IT,Italy,2853,92915,59030133,157.40266077326982,3.070548350643061,TESSy COVID-19
Italy,IT,2020-W23,national,IT,Italy,1855,NA,59030133,NA,NA,NA
Italy,IT,2020-W24,national,IT,Italy,2163,NA,59030133,NA,NA,NA
Italy,IT,2020-W25,national,IT,Italy,1609,NA,59030133,NA,NA,NA
Italy,IT,2020-W26,national,IT,Italy,1414,NA,59030133,NA,NA,NA
Italy,IT,2020-W27,national,IT,Italy,1466,NA,59030133,NA,NA,NA
Italy,IT,2020-W28,national,IT,Italy,1456,NA,59030133,NA,NA,NA
Italy,IT,2020-W29,national,IT,Italy,1507,NA,59030133,NA,NA,NA
Italy,IT,2020-W30,national,IT,Italy,1758,NA,59030133,NA,NA,NA
Italy,IT,2020-W31,national,IT,Italy,2188,NA,59030133,NA,NA,NA
Italy,IT,2020-W32,national,IT,Italy,2769,NA,59030133,NA,NA,NA
Italy,IT,2020-W33,national,IT,Italy,3479,NA,59030133,NA,NA,NA
Italy,IT,2020-W34,national,IT,Italy,7077,NA,59030133,NA,NA,NA
Italy,IT,2020-W35,national,IT,Italy,9452,NA,59030133,NA,NA,NA
Italy,IT,2020-W36,national,IT,Italy,9456,NA,59030133,NA,NA,NA
Italy,IT,2020-W37,national,IT,Italy,9899,NA,59030133,NA,NA,NA
Italy,IT,2020-W38,national,IT,Italy,10793,614696,59030133,1041.3257920323506,1.755827270715931,TESSy COVID-19
Italy,IT,2020-W39,national,IT,Italy,12494,654250,59030133,1108.3322478707612,1.9096675582728315,TESSy COVID-19
Italy,IT,2020-W40,national,IT,Italy,18016,697041,59030133,1180.822343734174,2.5846399279238956,TESSy COVID-19
Italy,IT,2020-W41,national,IT,Italy,37821,780608,59030133,1322.3890246020621,4.845069484299418,TESSy COVID-19
Italy,IT,2020-W42,national,IT,Italy,75966,975869,59030133,1653.1709322084705,7.784446477959644,TESSy COVID-19
Italy,IT,2020-W43,national,IT,Italy,142438,1113420,59030133,1886.1892111948994,12.792836485782544,TESSy COVID-19
Italy,IT,2020-W44,national,IT,Italy,203661,1313916,59030133,2225.839470834328,15.500305955631866,TESSy COVID-19
Italy,IT,2020-W45,national,IT,Italy,244570,1406795,59030133,2383.1811458056513,17.38490682722074,TESSy COVID-19
Italy,IT,2020-W46,national,IT,Italy,243262,1503673,59030133,2547.297326943173,16.177852498515303,TESSy COVID-19
Italy,IT,2020-W47,national,IT,Italy,214455,1510190,59030133,2558.337451145502,14.20053105900582,TESSy COVID-19
Italy,IT,2020-W48,national,IT,Italy,162526,1425999,59030133,2415.7136830438785,11.397343195892844,TESSy COVID-19
Italy,IT,2020-W49,national,IT,Italy,130098,1317771,59030133,2232.370033792741,9.872580288987995,TESSy COVID-19
Italy,IT,2020-W50,national,IT,Italy,108155,1090062,59030133,1846.6195900320943,9.921912698543753,TESSy COVID-19
Italy,IT,2020-W51,national,IT,Italy,106952,1146229,59030133,1941.7692994186546,9.330770727315397,TESSy COVID-19
Italy,IT,2020-W52,national,IT,Italy,92509,917012,59030133,1553.4642281764807,10.088090450288545,TESSy COVID-19
Italy,IT,2020-W53,national,IT,Italy,117297,880142,59030133,1491.0046026831753,13.327054043552064,TESSy COVID-19
